,answer,question
457,Conflict of Interest. Federal guidelines require the IRB to assure there are no conflicts of interest in research projects that could affect human subject participation and protection. 21 CFR 54.1 - 21 CFR 54.2 - 21 CFR 54.4 - 21 CFR 312.64(d) - 21 CFR 812.110(d).,in research what is conflict of interest
458,"EU Competition law has its origins in the European Coal and Steel Community (ECSC) agreement between France, Italy, Belgium, the Netherlands, Luxembourg and Germany in 1951 following the second World War. The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel as members felt that its dominance had contributed to the outbreak of the war. Article 65 of the agreement banned cartels and article 66 made provisions for concentrations, or mergers, and the abuse of a dominant position by companies. This was the first time that competition law principles were included in a plurilateral regional agreement and established the trans-European model of competition law. In 1957 competition rules were included in the Treaty of Rome, also known as the EC Treaty, which established the European Economic Community (EEC). The Treaty of Rome established the enactment of competition law as one of the main aims of the EEC through the ""institution of a system ensuring that competition in the common market is not distorted"". The two central provisions on EU competition law on companies were established in article 85, which prohibited anti-competitive agreements, subject to some exemptions, and article 86 prohibiting the abuse of dominant position. The treaty also established principles on competition law for member states, with article 90 covering public undertakings, and article 92 making provisions on state aid. Regulations on mergers were not included as member states could not establish consensus on the issue at the time.",What did article 65 of the ECSC ban?
459,"On August 15, 1971, the United States unilaterally pulled out of the Bretton Woods Accord. The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand). Shortly thereafter, Britain followed, floating the pound sterling. The other industrialized nations followed suit with their respective currencies. Anticipating that currency values would fluctuate unpredictably for a time, the industrialized nations increased their reserves (by expanding their money supplies) in amounts far greater than before. The result was a depreciation of the dollar and other industrialized nations' currencies. Because oil was priced in dollars, oil producers' real income decreased. In September 1971, OPEC issued a joint communiqué stating that, from then on, they would price oil in terms of a fixed amount of gold.",What does the dollar value do?
460,"Marijuana is statistically less harmful than alcohol, and it's time to treat it that way VIDEO. No substantial evidence links marijuana to traffic accidents, domestic violence or cancer, yet pot is illegal and listed as a Schedule I controlled substance by the U.S. Drug Enforcement Administration.",is marijuana worse than alcohol
461,"The Judicial Branch. The third branch of government is the Judicial branch. The Judiciary is made up of courts -- Supreme, Circuit, the magistrate (local) and municipal (city) courts. The Judicial branch interprets the laws. The state judges are elected by the citizens rather than being appointed.",which court are included in the judicial branch
462,"The Social Chapter is a chapter of the 1997 Treaty of Amsterdam covering social policy issues in European Union law. The basis for the Social Chapter was developed in 1989 by the ""social partners"" representatives, namely UNICE, the employers' confederation, the European Trade Union Confederation (ETUC) and CEEP, the European Centre of Public Enterprises. A toned down version was adopted as the Social Charter at the 1989 Strasbourg European Council. The Social Charter declares 30 general principles, including on fair remuneration of employment, health and safety at work, rights of disabled and elderly, the rights of workers, on vocational training and improvements of living conditions. The Social Charter became the basis for European Community legislation on these issues in 40 pieces of legislation.",How many general principles does the Social Charter declare?
463,"Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials.",By how much did the Navy increase the defendant's sentence?
464,"In some rural areas in the United Kingdom, there are dispensing physicians who are allowed to both prescribe and dispense prescription-only medicines to their patients from within their practices. The law requires that the GP practice be located in a designated rural area and that there is also a specified, minimum distance (currently 1.6 kilometres) between a patient's home and the nearest retail pharmacy. This law also exists in Austria for general physicians if the nearest pharmacy is more than 4 kilometers away, or where none is registered in the city.",What is another country that permits physicians to give out drugs from within their practice?
465,"An important decision for civil disobedients is whether or not to plead guilty. There is much debate on this point, as some believe that it is a civil disobedient's duty to submit to the punishment prescribed by law, while others believe that defending oneself in court will increase the possibility of changing the unjust law. It has also been argued that either choice is compatible with the spirit of civil disobedience. ACT-UP's Civil Disobedience Training handbook states that a civil disobedient who pleads guilty is essentially stating, ""Yes, I committed the act of which you accuse me. I don't deny it; in fact, I am proud of it. I feel I did the right thing by violating this particular law; I am guilty as charged,"" but that pleading not guilty sends a message of, ""Guilt implies wrong-doing. I feel I have done no wrong. I may have violated some specific laws, but I am guilty of doing no wrong. I therefore plead not guilty."" A plea of no contest is sometimes regarded as a compromise between the two. One defendant accused of illegally protesting nuclear power, when asked to enter his plea, stated, ""I plead for the beauty that surrounds us""; this is known as a ""creative plea,"" and will usually be interpreted as a plea of not guilty.",Which reason is given sometimes to plead not guilty involving these matters?
466,"Second Degree Misdemeanors. Second degree misdemeanors are less serious, but still carry potential jail time and a fine, punishable by up to 6 months in jail, and a $500 fine. The major difference between felonies and misdemeanors is the potential jail time. Misdemeanor: An offense with a potential outcome of 1 year or less of incarceration in a jail. Felony: An offense that can result in a prison sentence of over a year. However, there is an opportunity to get these charges expunged or sealed with proper legal representation, depending on the circumstances. The judge may also decide a different penalty other than the maximum under Florida state law.",florida difference between felony and misdemeanor supervision
467,"EU Competition law has its origins in the European Coal and Steel Community (ECSC) agreement between France, Italy, Belgium, the Netherlands, Luxembourg and Germany in 1951 following the second World War. The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel as members felt that its dominance had contributed to the outbreak of the war. Article 65 of the agreement banned cartels and article 66 made provisions for concentrations, or mergers, and the abuse of a dominant position by companies. This was the first time that competition law principles were included in a plurilateral regional agreement and established the trans-European model of competition law. In 1957 competition rules were included in the Treaty of Rome, also known as the EC Treaty, which established the European Economic Community (EEC). The Treaty of Rome established the enactment of competition law as one of the main aims of the EEC through the ""institution of a system ensuring that competition in the common market is not distorted"". The two central provisions on EU competition law on companies were established in article 85, which prohibited anti-competitive agreements, subject to some exemptions, and article 86 prohibiting the abuse of dominant position. The treaty also established principles on competition law for member states, with article 90 covering public undertakings, and article 92 making provisions on state aid. Regulations on mergers were not included as member states could not establish consensus on the issue at the time.",Which article made provisions for concentrations or mergers and the abuse of a dominant position by companies?
468,"(December 2009). In law, a motion to set aside judgment is an application to overturn or set aside a court 's judgment, verdict or other final ruling in a case. Such a motion is proposed by a party who is dissatisfied with the end result of a case.",what is a set aside order
469,"The primary law of the EU consists mainly of the founding treaties, the ""core"" treaties being the Treaty on European Union (TEU) and the Treaty on the Functioning of the European Union (TFEU). The Treaties contain formal and substantive provisions, which frame policies of the European Union institutions and determine the division of competences between the European Union and its member states. The TEU establishes that European Union law applies to the metropolitan territories of the member states, as well as certain islands and overseas territories, including Madeira, the Canary Islands and the French overseas departments. European Union law also applies in territories where a member state is responsible for external relations, for example Gibraltar and the Åland islands. The TEU allows the European Council to make specific provisions for regions, as for example done for customs matters in Gibraltar and Saint-Pierre-et-Miquelon. The TEU specifically excludes certain regions, for example the Faroe Islands, from the jurisdiction of European Union law. Treaties apply as soon as they enter into force, unless stated otherwise, and are generally concluded for an unlimited period. The TEU provides that commitments entered into by the member states between themselves before the treaty was signed no longer apply.[vague] All EU member states are regarded as subject to the general obligation of the principle of cooperation, as stated in the TEU, whereby member states are obliged not to take measure which could jeopardise the attainment of the TEU objectives. The Court of Justice of the European Union can interpret the Treaties, but it cannot rule on their validity, which is subject to international law. Individuals may rely on primary law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional.",What does the TEU not allow the European Council to do?
470,"To help reduce consumption, in 1974 a national maximum speed limit of 55 mph (about 88 km/h) was imposed through the Emergency Highway Energy Conservation Act. Development of the Strategic Petroleum Reserve began in 1975, and in 1977 the cabinet-level Department of Energy was created, followed by the National Energy Act of 1978.[citation needed] On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit.",What is the name of the President that imposed the speed limit?
471,"then the pre-1987 amounts (excluding any earnings or gains on such amounts): 1  are not subject to the age 70½ RMD rules of IRC Section 401(a)(9), 2  are not used in calculating age 70½ RMDs from the 403(b) plan, and.",what is rmd answer for a pension
472,"The Social Charter was subsequently adopted in 1989 by 11 of the then 12 member states. The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation. The UK subsequently was the only member state to veto the Social Charter being included as the ""Social Chapter"" of the 1992 Maastricht Treaty - instead, an Agreement on Social Policy was added as a protocol. Again, the UK was exempt from legislation arising from the protocol, unless it agreed to be bound by it. The protocol was to become known as ""Social Chapter"", despite not actually being a chapter of the Maastricht Treaty. To achieve aims of the Agreement on Social Policy the European Union was to ""support and complement"" the policies of member states. The aims of the Agreement on Social Policy are:",What year was the Maastricht treaty signed?
473,"The notion of equal protection or equal treatment is rooted in the Anglo-Saxon common law. When henry ii ascended the throne in 1154, England was divided into political subdivisions consisting of villages, hundreds, shires, and towns.",which is one way that people benefit from equal treatment under the law?
474,"The Constitution is a fraud on the people and should be abandoned. It has not protected us from civil or foreign wars, from inflation and federal corruption. It is in fact the engine of all these crimes, authorizing such racketeering as the private Federal Reserve Corporation and its collection agency, the IRS.",us constitution is a masonic construct
475,"Accredited by The Joint Commission, MARR is also a member of the National Association of Addiction Treatment Programs (NAATP) and fully licensed under the laws of the State of Georgia. MARR is recognized as one of the most cost-effective rehab facilities for drug and alcohol abuse in the United States. To ensure its mission is achieved, a Board of Trustees oversees the organization so that MARR remains a leader in the treatment of chemical dependency and among rehab centers nationwide.",what is marr
476,"The Kreisky–Peter–Wiesenthal affair was a political and personal feud in the 1970s fought between the then Austrian chancellor Bruno Kreisky and the Nazi hunter Simon Wiesenthal arising from Kreisky's ministerial appointments and the SS past of Freedom Party leader Friedrich Peter, which had been revealed by Wiesenthal.

Alwine Dollfuß (née Glienke) (1897–1973) was the wife of former Austrian chancellor Engelbert Dollfuß. At the time of his murder, she was in Italy with Benito Mussolini, who allowed her the use of his private plane to hurry back to Austria. She is buried in Hietzinger Cemetery next to her husband, and two of her children; Hannerl and Eva. She was also satirized in Brecht's ""The Resistible Rise of Arturo Ui"" 1941 as the character 'Betty Dullfeet'.

Karl, Count Chotek of Chotkow and Wognin (Czech: ""Karel hrabě Chotek z Chotkova a Vojnína"" , German: ""Karl Graf Chotek von Chotkow und Wognin"" ); (23 July 1783 – 18 December 1868) was an Austrian chancellor, Government President (Gubernialpräsident) and school reformer of Bohemia and honorary citizen of Innsbruck and Prague.",Which Austrian Chancellor does Jörg Leichtfried serve under?
477,"General Rule. 1  The Privacy Rule provides that an individual has a right to adequate notice of how a covered entity may use and disclose protected health information about the individual, as well as his or her rights and the covered entity's obligations with respect to that information.",what is the purpose of the privacy act
478,"Embezzling is the criminal act of a person stealing property that he or she was entrusted with. It most commonly happens with money, stocks, and bonds. For an act to legally be considered embezzling, a few different factors have to be present, including stealing the property intentionally and being in a position of trust. Some people successfully steal for years without being caught, but most of the time this isn't the case.",what is embezzling
479,"Effects of Deforestation on Ground Water Results The worst situation Deforestation is the cutting down of trees. The reasoning behind deforestation is so that humans have more room to live. Water does not absorb as it should without roots. Conclusions The more roots in the ground, the cleaner and plentiful the groundwater will be. Dirt without roots does not absorb water well. This can lead to disasters such as mudslides.",what effect can deforestation have on groundwater
480,"Specifically, neither Buckingham County, Virginia nor InteractiveGIS shall be liable for any direct, special, incidental, or consequential damages, including, without limitation, lost revenues, or lost profits, resulting from the use or misuse of the information contained in these web pages.",what county is buckingham va in
481,"The Social Charter was subsequently adopted in 1989 by 11 of the then 12 member states. The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation. The UK subsequently was the only member state to veto the Social Charter being included as the ""Social Chapter"" of the 1992 Maastricht Treaty - instead, an Agreement on Social Policy was added as a protocol. Again, the UK was exempt from legislation arising from the protocol, unless it agreed to be bound by it. The protocol was to become known as ""Social Chapter"", despite not actually being a chapter of the Maastricht Treaty. To achieve aims of the Agreement on Social Policy the European Union was to ""support and complement"" the policies of member states. The aims of the Agreement on Social Policy are:",Who was the only member state not to veto the Social Charter the Social Charter being included as the Social Charter of Masstricht Treaty?
482,"content of the document emerged largely from the ideals of the Enlightenment. The key drafts were prepared by Lafayette, working at times with his close friend Thomas Jefferson. In August 1789, Honoré Mirabeau played a central role in conceptualizing and drafting the Declaration of the Rights of Man and of the Citizen.
The l",who wrote the french declaration of the rights of man and of the citizen
483,"The concept of legal certainty is recognised one of the general principles of European Union law by the European Court of Justice since the 1960s. It is an important general principle of international law and public law, which predates European Union law. As a general principle in European Union law it means that the law must be certain, in that it is clear and precise, and its legal implications foreseeable, specially when applied to financial obligations. The adoption of laws which will have legal effect in the European Union must have a proper legal basis. Legislation in member states which implements European Union law must be worded so that it is clearly understandable by those who are subject to the law. In European Union law the general principle of legal certainty prohibits Ex post facto laws, i.e. laws should not take effect before they are published. The doctrine of legitimate expectation, which has its roots in the principles of legal certainty and good faith, is also a central element of the general principle of legal certainty in European Union law. The legitimate expectation doctrine holds that and that ""those who act in good faith on the basis of law as it is or seems to be should not be frustrated in their expectations"".",How long has the concept of legal certainty been recognized as one of the general principles by the EU law?
484,1. a statement (that something is a fact). Her claim that she was the millionaire's daughter was disproved. 2. (a demand for) a payment of compensation etc. a claim for damages against her employer. 3. a demand for something which (one says) one owns or has a right to. a rightful claim to the money. a person who makes a claim. a claimant to the throne.,who is claimant in insurance
485,"None of the original treaties establishing the European Union mention protection for fundamental rights. It was not envisaged for European Union measures, that is legislative and administrative actions by European Union institutions, to be subject to human rights. At the time the only concern was that member states should be prevented from violating human rights, hence the establishment of the European Convention on Human Rights in 1950 and the establishment of the European Court of Human Rights. The European Court of Justice recognised fundamental rights as general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states' constitution became ever more apparent. In 1999 the European Council set up a body tasked with drafting a European Charter of Human Rights, which could form the constitutional basis for the European Union and as such tailored specifically to apply to the European Union and its institutions. The Charter of Fundamental Rights of the European Union draws a list of fundamental rights from the European Convention on Human Rights and Fundamental Freedoms, the Declaration on Fundamental Rights produced by the European Parliament in 1989 and European Union Treaties.",What other entity was established at the same time as the European Convention on Human Rights?
486,"Louis XIV gained the throne in 1643 and acted increasingly aggressively to force the Huguenots to convert. At first he sent missionaries, backed by a fund to financially reward converts to Catholicism. Then he imposed penalties, closed Huguenot schools and excluded them from favored professions. Escalating, he instituted dragonnades, which included the occupation and looting of Huguenot homes by military troops, in an effort to forcibly convert them. In 1685, he issued the Edict of Fontainebleau, revoking the Edict of Nantes and declaring Protestantism illegal.[citation needed]",How did the new king react to the Huguenots?
487,"orces and a combined army of General Price's Missouri State Guard and Confederate troops from Arkansas and Texas, under General Ben McCulloch. After winning victories at the Battle of Wilson's Creek in August and the siege of Lexington in September, the secessionist forces retreated to southwestern Missouri, as they were under pressure from Union reinforcements. On October 30, 1861, in the town of Neosho, Jackson called the supporting parts of the exiled state legislature into session, where they enacted a secession ordinance. It was recognized by the Confederate Congress, and Missouri was admitted into the Confederacy on November 28.
The exiled state government wa",when did the states secede during the civil war
488,"Montesquieu did not describe a social contract as such. But he said that the state of war among individuals and nations led to human laws and government. Montesquieu wrote that the main purpose of government is to maintain law and order, political liberty, and the property of the individual.",how did the philosophers of the enlightenment view the relationship between government and the governed
489,"Recusal is the act of a judge or prosecutor being removed or excusing one's self from a legal case due to conflict of interest or other good reason. Recusal is governed by federal laws and state laws and codes of ethics, which vary by state.",meaning of recusal
490,"The Pollution Prevention Act of 1990 (PPA) in the United States created a national policy to have pollution prevented or reduced at the source wherever possible. It also expanded the Toxics Release Inventory.

Since its establishment in May 2006, the Institute of Public & Environmental Affairs (IPE), a registered non-profit organization based in Beijing, China, has developed the China Pollution Map Database to monitor corporate environmental performance, pinpoint geographical locations of pollution sources and to act as an informational platform on regional pollution status, such as water and air quality, and pollutant discharge rankings. This publicly available information resource brings together over 97,000 environmental supervision records from government departments, at all levels and regions, throughout mainland China. These records, dating back as far as 2004, allow for the expansion of environmental information disclosure, enabling communities to fully understand the hazards and risks in the surrounding environment, thus promoting widespread public participation in environmental governance.

The Toxics Release Inventory (TRI) is a publicly available database containing information on toxic chemical releases and other waste management activities in the United States.",The Pollution Prevention Act of 1990 expanded a publicly available or private database?
491,"France, the ""fifth"" power, was represented by its foreign minister, Talleyrand, as well as the Minister Plenipotentiary the Duke of Dalberg. Talleyrand had already negotiated the Treaty of Paris (1814) for Louis XVIII of France; the king, however, distrusted him and was also secretly negotiating with Metternich, by mail.",where did an independence movement occur because of the congress of vienna
492,"The principles of European Union law are rules of law which have been developed by the European Court of Justice that constitute unwritten rules which are not expressly provided for in the treaties but which affect how European Union law is interpreted and applies. In formulating these principles, the courts have drawn on a variety of sources, including: public international law and legal doctrines and principles present in the legal systems of European Union member states and in the jurisprudence of the European Court of Human Rights. Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.",What sources did the EU courts not drawn on?
493,"Legend drug ; Legend drug What is a legend drug? A legend drug is a drug approved by the U.S. Food and Drug Administration that can be dispensed to the public only with a prescription from a medical doctor or other licensed practitioner. Deeper definition . Federal and state laws require that all prescription drugs bear a ""legend"" prohibiting their sale without a prescription.",legend definition for drugs
494,The seven principles of the Constitution are: Popular Sovereignty; Republicanism; Federalism; Separation of Powers; Checks and Balances; Limited Government; Individual Rights; 7 Principles of Government 1. Checks and Balances--procedural rules allow one branch to check and to limit another . 2. Separation of powers-- the government is divided into 3 branches,what are the seven basic principles of the constitution
495,"Answer: electronegativity Section: 1-3 15) Provide the mathematical equation for the dipole moment of a bond, and identify the variables. Answer: μ = e × d, where μ is the bond dipole moment, e is the amount of charge which is separated, and d is the distance over which the charge is separated. Section: 1-3.",what is the bond angle of hcooh
496,"While the concept of a ""social market economy"" was only introduced into EU law in 2007, free movement and trade were central to European development since the Treaty of Rome 1957. According to the standard theory of comparative advantage, two countries can both benefit from trade even if one of them has a less productive economy in all respects. Like in other regional organisations such as the North American Free Trade Association, or the World Trade Organisation, breaking down barriers to trade, and enhancing free movement of goods, services, labour and capital, is meant to reduce consumer prices. It was originally theorised that a free trade area had a tendency to give way to a customs union, which led to a common market, then monetary union, then union of monetary and fiscal policy, political and eventually a full union characteristic of a federal state. In Europe, however, those stages were considerably mixed, and it remains unclear whether the ""endgame"" should be the same as a state, traditionally understood. In practice free trade, without standards to ensure fair trade, can benefit some people and groups within countries (particularly big business) much more than others, but will burden people who lack bargaining power in an expanding market, particularly workers, consumers, small business, developing industries, and communities. The Treaty on the Functioning of the European Union articles 28 to 37 establish the principle of free movement of goods in the EU, while articles 45 to 66 require free movement of persons, services and capital. These so-called ""four freedoms"" were thought to be inhibited by physical barriers (e.g. customs), technical barriers (e.g. differing laws on safety, consumer or environmental standards) and fiscal barriers (e.g. different Value Added Tax rates). The tension in the law is that the free movement and trade is not supposed to spill over into a licence for unrestricted commercial profit. The Treaties limit free trade, to prioritise other values such as public health, consumer protection, labour rights, fair competition, and environmental improvement. Increasingly the Court of Justice has taken the view that the specific goals of free trade are underpinned by the general aims of the treaty for improvement of people's well being.",How long has free movement and trade been central to European development?
497,"Following the treaty, King George III issued the Royal Proclamation of 1763 on October 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern Canada and the First Nations. Included in its provisions was the reservation of lands west of the Appalachian Mountains to its Indian population, a demarcation that was at best a temporary impediment to a rising tide of westward-bound settlers. The proclamation also contained provisions that prevented civic participation by the Roman Catholic Canadians. When accommodations were made in the Quebec Act in 1774 to address this and other issues, religious concerns were raised in the largely Protestant Thirteen Colonies over the advance of ""popery""; the Act maintained French Civil law, including the seigneurial system, a medieval code soon to be removed from France within a generation by the French Revolution.",What was the objective of Royal Proclamation of 1763?
498,"The Indiana Supreme Court approves local court rules in only these areas: selection of special judges in civil and criminal cases, court reporter services, caseload allocation plans, and service as an acting judge in another court, county, or district.","what county is connersville, in"
499,"When writing, consult the Bluebook for proper form of legal citation. The most recent edition is the 20th. Also keep in mind that the point of citation is not to memorize all the rules within The Bluebook but to know how to use it and how to find the applicable rules.",how to cite the code of ethics
500,"European Union law is applied by the courts of member states and the Court of Justice of the European Union. Where the laws of member states provide for lesser rights European Union law can be enforced by the courts of member states. In case of European Union law which should have been transposed into the laws of member states, such as Directives, the European Commission can take proceedings against the member state under the Treaty on the Functioning of the European Union. The European Court of Justice is the highest court able to interpret European Union law. Supplementary sources of European Union law include case law by the Court of Justice, international law and general principles of European Union law.",What is the highest court in the European Union?
501,"In most jurisdictions (such as the United States), pharmacists are regulated separately from physicians. These jurisdictions also usually specify that only pharmacists may supply scheduled pharmaceuticals to the public, and that pharmacists cannot form business partnerships with physicians or give them ""kickback"" payments. However, the American Medical Association (AMA) Code of Ethics provides that physicians may dispense drugs within their office practices as long as there is no patient exploitation and patients have the right to a written prescription that can be filled elsewhere. 7 to 10 percent of American physicians practices reportedly dispense drugs on their own.",What is the estimate of how many physicians give out drugs on their own?
502,"During this time, the discovery of oil in the North Sea and the following ""It's Scotland's oil"" campaign of the Scottish National Party (SNP) resulted in rising support for Scottish independence, as well as the SNP. The party argued that the revenues from the oil were not benefitting Scotland as much as they should. The combined effect of these events led to Prime Minister Wilson committing his government to some form of devolved legislature in 1974. However, it was not until 1978 that final legislative proposals for a Scottish Assembly were passed by the United Kingdom Parliament.",When was the final legislative proposals for a Scottish Assembly passed?
503,"DRIVING WHILE INTOXICATED. (a) A person commits an offense if the person is intoxicated while operating a motor vehicle in a public place. (b) Except as provided by Subsections (c) and (d) and Section 49.09, an offense under this section is a Class B misdemeanor, with a minimum term of confinement of 72 hours.",what is aggravated driving while intoxicated
504,"PAR in the News. High bill veto right decision. Gov. John Bel Edwards is taking heat for some of his legislative vetoes, but one of them was right on target. Edwards vetoed House Bill 598, which was designed to bring accountability to the state Department of Transportation and Development, but got sidetracked.",what is to par
505,"Trust funds aren't just for the very wealthy. On the contrary, a trust is a flexible financial option that can protect any individual's or family's assets. A limited-term trust is one type of trust that's created for a specific number of years. Let's remove the mystique of the trust fund. A trust is simply a legal relationship, drawn up by a lawyer to serve a specific",what is a short term trust
506,"Ask students to discuss if each amendment was a political, economic, or social change (10 minutes). PROCEDURES: 1. Hand out copies of ""Reconstruction Amendments"" to each student (RS #2-4). 2. Divide students into small groups of 3-4. Instructs the groups that they will read the 13th, 14th, and 15th Amendments together.",which amendments to the constitution are together called the reconstruction amendments?
507,"The principle of cross-cutting relationships pertains to the formation of faults and the age of the sequences through which they cut. Faults are younger than the rocks they cut; accordingly, if a fault is found that penetrates some formations but not those on top of it, then the formations that were cut are older than the fault, and the ones that are not cut must be younger than the fault. Finding the key bed in these situations may help determine whether the fault is a normal fault or a thrust fault.",What are key beds younger than?
508,"United States federal courts, the term currently applies only to cases brought under diversity jurisdiction, meaning that the court is able to hear the case only because it is between citizens of different states. In such cases, the U.S. Congress has decreed in 28 U.S.C. § 1332(a) that the court may hear such suits only where ""the matter in controversy exceeds the sum or value of $75,000."" This amount represents a significant increase from earlier years.
Con",what is the minimum dollar amount for federal court
509,"Following a lengthy legal battle with the European Commission, which deemed the exclusivity of the rights to be against the interests of competition and the consumer, BSkyB's monopoly came to an end from the 2007–08 season. In May 2006, the Irish broadcaster Setanta Sports was awarded two of the six Premier League packages that the English FA offered to broadcasters. Sky picked up the remaining four for £1.3bn. In February 2015, Sky bid £4.2bn for a package of 120 premier league games across the three seasons from 2016. This represented an increase of 70% on the previous contract and was said to be £1bn more than the company had expected to pay. The move has been followed by staff cuts, increased subscription prices (including 9% in Sky's family package) and the dropping of the 3D channel.",How many of the six total packages available to broadcasters did Setanta give away?
510,"Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience."" A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage. During the Vietnam War era, the Chicago Eight used a political defense, while Benjamin Spock used a technical defense. In countries such as the United States whose laws guarantee the right to a jury trial but do not excuse lawbreaking for political purposes, some civil disobedients seek jury nullification. Over the years, this has been made more difficult by court decisions such as Sparf v. United States, which held that the judge need not inform jurors of their nullification prerogative, and United States v. Dougherty, which held that the judge need not allow defendants to openly seek jury nullification.",What did the judge have to let the jurors know about in the Chicago Eight case?
511,"As well as creating rights for ""workers"" who generally lack bargaining power in the market, the Treaty on the Functioning of the European Union also protects the ""freedom of establishment"" in article 49, and ""freedom to provide services"" in article 56. In Gebhard v Consiglio dell'Ordine degli Avvocati e Procuratori di Milano the Court of Justice held that to be ""established"" means to participate in economic life ""on a stable and continuous basis"", while providing ""services"" meant pursuing activity more ""on a temporary basis"". This meant that a lawyer from Stuttgart, who had set up chambers in Milan and was censured by the Milan Bar Council for not having registered, was entitled to bring a claim under for establishment freedom, rather than service freedom. However, the requirements to be registered in Milan before being able to practice would be allowed if they were non-discriminatory, ""justified by imperative requirements in the general interest"" and proportionately applied. All people or entities that engage in economic activity, particularly the self-employed, or ""undertakings"" such as companies or firms, have a right to set up an enterprise without unjustified restrictions. The Court of Justice has held that both a member state government and a private party can hinder freedom of establishment, so article 49 has both ""vertical"" and ""horizontal"" direct effect. In Reyners v Belgium the Court of Justice held that a refusal to admit a lawyer to the Belgian bar because he lacked Belgian nationality was unjustified. TFEU article 49 says states are exempt from infringing others' freedom of establishment when they exercise ""official authority"", but this did an advocate's work (as opposed to a court's) was not official. By contrast in Commission v Italy the Court of Justice held that a requirement for lawyers in Italy to comply with maximum tariffs unless there was an agreement with a client was not a restriction. The Grand Chamber of the Court of Justice held the Commission had not proven that this had any object or effect of limiting practitioners from entering the market. Therefore, there was no prima facie infringement freedom of establishment that needed to be justified.","In Gebhard v Consiglio...Milano, the requirements to be registered in Milan before being able to practice law would be allowed under what conditions?"
512,"The IRS has a tax-exempt organization search to find if donation you would like to make to the would be tax deductible to that organization. The organization must be designated as a 501(c)(3). Note that donations to political entities are not tax deductible. Sorry, Super PACS.",taxes what does donation go under
513,"Æthelred ( ; c. 762  – 18 April 796), was the king of Northumbria from 774 to 779 and again from 790 until he was murdered in 796. He was the son of Æthelwald Moll and Æthelthryth and possibly became king while still a child after Alhred was deposed.

Eanflæd (19 April 626 – after 685, also known as Enfleda) was a Deiran princess, queen of Northumbria and later, the abbess of an influential Christian monastery in Whitby, England. She was the daughter of King Edwin of Northumbria and Æthelburg, who in turn was the daughter of King Æthelberht of Kent. In or shortly after 642 Eanflæd became the second wife of King Oswiu of Northumbria. After Oswiu's death in 670, she retired to Whitby Abbey, which had been founded by Hilda of Whitby. Eanflæd became the abbess around 680 and remained there until her death. The monastery had strong association with members of the Northumbrian royal family and played an important role in the establishment of Roman Christianity in England.

Eardwulf (fl. 790 – c. 830) was king of Northumbria from 796 to 806, when he was deposed and went into exile. He may have had a second reign from 808 until perhaps 811 or 830. Northumbria in the last years of the eighth century was the scene of dynastic strife between several noble families: in 790, the then-king Æthelred I attempted to have Eardwulf assassinated. Eardwulf's survival may have been viewed as a sign of divine favour. A group of nobles conspired to assassinate Æthelred in April 796 and he was succeeded by Osbald: Osbald's reign lasted only twenty-seven days before he was deposed and Eardwulf became king on 14 May 796.","Which king of Northumbria, who possibly became king while a still a child, attempted to have Eardwulf of Northumbria assassinated?"
514,"In comparison, discretionary trusts are taxed at 45% on most income and effectively 30.55% on dividends. However, if the discretionary trust pays the income to the beneficiary, and the beneficiary is taxed at lower tax rates, they will be able to make a repayment claim. The way that this works means a beneficiary will lose out where dividend income is received by the trustees as compared to the position had he or she held the shares directly.",how is income taxed on discretionary trust?
